,순,시즌,FA,출생,이름,팀,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
0,1,1982,0,1956,박철순,82O_#000042,, 15 , 2 , 19 , 24 , 4 , 7 , 0 , 224.2 , 60 ,, 871 , 151 , 7 , 67 , 1 , 6 , 108 , 0 , 4 , 1.84 , 2.82 , 0.97 , 211.2 , 137.8 , 9.54 ,,,
1,2,1982,0,1953,황규봉,삼성,, 8 , 2 , 16 , 15 , 11 , 11 , 0 , 222.1 , 78 ,, 865 , 188 , 11 , 34 , 3 , 6 , 99 , 1 , 4 , 2.47 , 2.67 , 1.00 , 160.6 , 148.5 , 8.62 ,,,
2,3,1982,0,1958,노상수,롯데,, 12 , 2 , 20 , 14 , 19 , 2 , 0 , 232.1 , 97 ,, 954 , 216 , 18 , 59 , 6 , 10 , 141 , 2 , 4 , 2.94 , 3.03 , 1.18 , 134.9 , 131.3 , 7.05 ,,,
3,4,1982,0,1955,하기룡,82M_#1245AB,, 7 , 4 , 16 , 13 , 10 , 9 , 0 , 191.2 , 68 ,, 781 , 160 , 10 , 53 , 4 , 13 , 107 , 2 , 6 , 2.30 , 2.95 , 1.11 , 172.3 , 134.4 , 6.78 ,,,
4,5,1982,0,1954,권영호,삼성,, 6 , 3 , 21 , 15 , 5 , 2 , 0 , 178.2 , 57 ,, 710 , 139 , 18 , 52 , 0 , 7 , 72 , 1 , 1 , 2.37 , 3.91 , 1.07 , 167.5 , 101.3 , 5.12 ,,,
5,6,1982,0,1958,김용남,82해_#DB0000,, 8 , 1 , 17 , 9 , 12 , 0 , 0 , 175.0 , 83 ,, 740 , 177 , 12 , 42 , 2 , 9 , 85 , 0 , 4 , 3.09 , 3.18 , 1.25 , 124.9 , 121.2 , 4.19 ,,,
6,7,1982,0,1955,이선희,삼성,, 4 , 3 , 22 , 15 , 7 , 1 , 0 , 167.0 , 67 ,, 698 , 152 , 11 , 73 , 3 , 9 , 73 , 0 , 4 , 2.91 , 3.82 , 1.35 , 136.2 , 103.8 , 4.11 ,,,
7,8,1982,0,1954,천창호,롯데,, 8 , 1 , 21 , 7 , 13 , 0 , 0 , 173.2 , 85 ,, 723 , 173 , 18 , 52 , 9 , 7 , 92 , 2 , 0 , 3.83 , 3.57 , 1.30 , 103.6 , 111.3 , 3.78 ,,,
8,9,1982,0,1957,선우대영,82O_#000042,, 6 , 1 , 20 , 7 , 6 , 0 , 0 , 138.0 , 64 ,, 566 , 139 , 8 , 31 , 1 , 4 , 65 , 0 , 3 , 3.39 , 2.97 , 1.23 , 114.7 , 131.0 , 3.60 ,,,
9,10,1982,0,1957,성낙수,삼성,, 5 , 0 , 19 , 8 , 3 , 2 , 0 , 125.0 , 44 ,, 500 , 119 , 15 , 23 , 0 , 6 , 56 , 0 , 1 , 2.81 , 3.78 , 1.14 , 141.2 , 104.9 , 3.40 ,,,
