순,연도,이름,원 소속팀,이적팀,계약기간,총액,옵션,보상선수
1,2000,김동수,,,3년,8억,-,김상엽
2,2001,홍현우,,,4년,18억,-,최익성
3,2002,양준혁,,,4년,27.2억,"+4억, -6억",현금 보상
4,,김민재,,,4년,10억,-,현금 보상
5,2003,박경완,,,3년,19억,-,조규제
6,2004,박종호,,,4년,22억,4억,노병오
7,,마해영,,,4년,28억,±1억,신동주
8,,정수근,,,6년,40.6억,-,문동환[5]
9,2005,심정수,,,4년,60억,±2억 5천,현금 보상
10,,박진만,,,4년,39억,"연간 1억, -1억 5천",이정호
11,,김재현,,,4년,20.7억,2억 6천,안재만
12,2006,김민재,,,4년,14억,1억,정병희
13,2009,정성훈,,,3+1년,24억,-,현금 보상
14,,이진영,,,4년,42억,,이승호
15,,홍성흔,,,4년,30억,,이원석
16,2011,이범호,,,1년,12억,-,안영명
17,2012,조인성,,,3년,19억,-,임정우
18,,이택근,,,4년,50억,연간 1억 5천,윤지웅
19,2013,이호준,,,3년,20억,-,현금 보상[B]
20,,이현곤,,,3년,10.5억,3억,현금 보상[B]
21,,김주찬,,,4년,50억,4억,홍성민
22,,홍성흔,,,4년,31억,-,김승회
23,2014,이용규,,,4년,67억,7억,한승택
24,,정근우,,,4년,70억,7억,현금 보상
25,,이대형,,,4년,24억,2억,신승현
26,,이종욱,,,4년,50억,2억,현금 보상[B]
27,,손시헌,,,4년,30억,2억,현금 보상[B]
28,,최준석,,,4년,35억,4억,김수완
29,2015,박경수,,,4년,18억,2억,현금 보상[A]
30,,박기혁,,,3+1년,11.4억,연간 3천,현금 보상[A]
31,2016,정상호,,,4년,32억,2억,최승준
32,,유한준,,,4년,60억,-,현금 보상[A]
33,,박석민,,,4년,96억,10억,최재원
34,2017,이원석,,,4년,27억,-,이흥련
35,,최형우,,,4년,100억,,강한울
36,2018,황재균,,,4년,88억,-,조무근
37,,강민호,,,4년,90억,10억,나원탁
38,,민병헌,,,4년,80억,-,백민기
39,,김현수,,,4년,115억,,유재유
40,2019,양의지,,,4년,125억,-,이형범
41,2020,안치홍,,,2+2년,56억,6억,김현수
42,2021,최주환,,,4년,42억,4억,강승호
43,,오재일,,,4년,50억,4억,박계범
44,2022,박해민,,,4년,60억,4억,김재성
45,,박건우,,,6년,100억,6억,강진성
46,,나성범,,,6년,150억,30억,하준영
47,,손아섭,,,4년,64억,8억,문경찬
48,,박병호,,,3년,30억,3억,현금 보상[C]
49,,허도환,,,2년,4억,-,현금 보상[C]
50,2023,유강남,,,4년,80억,6억,김유영
51,,박동원,,,4년,65억,-,김대유
52,,채은성,,,6년,90억,10억,윤호솔
53,,양의지,,,4+2년,152억,42억,
54,,노진혁,,,4년,50억,4억,
55,,박세혁,,,4년,46억,4억,
56,,김상수,,,4년,29억,6억,
,,,,,,,,
,,,,,,,,
