순,연도,이름,소속팀,계약기간,총액,옵션,,
1,2000,김정수,,1년,0.5억,-,,
2,,송유석,,1년,0.75억,,,
3,,송진우,,3년,7억,,,
4,2001,조계현,,1년,2.08억,-,,
5,,김상진,,3년,8.5억,,,
6,2002,김원형,,4년,14억,3억,,
7,2003,강상수,,3년,4억,6천,,
8,,송진우,,3년,18억,사이닝 보너스 9억,,
9,2004,가득염,,3년,5.6억,,,
10,,조웅천,,3+1년,17.5억,,,
11,2005,오봉옥,,2년,3억,-,,
12,,임창용,,2년,18억,10승 초과시 1승당 1천,,
,,,,,,10승 미만시 -2억 원,,
13,2006,위재영,,3년,8억,9천,,
14,,송진우,,2년,14억,2억[15],,
15,2007,전병호,,2년,9억,연간 5천,,
16,,권준헌,,3년,8.5억,5천,,
17,,김수경,,1+2년,5억,1억,,
18,,김원형,,2년,7.5억,연간 5천,,
19,2008,조웅천,,2년,8억,-,,
20,,류택현,,2+1년,6.5억,연간 5천,,
21,2009,손민한,,1년,15억,-,,
22,,최원호,,1년,2억,,,
23,2011,배영수,,2년,17억,연간 1억 5천,,
24,2012,정재훈,,4년,28억,연간 1억 5천,,
25,,이상열,,2년,6억,연간 7천 5백,,
26,,이승호,,2년,2억,-,,
27,2013,이정훈,,2년,5억,-,,
28,,유동훈,,2년,7.5억,,,
29,,마일영,,3년,8억,,,
30,2014,장원삼,,4년,60억,-,,
31,,강영식,,4년,17억,1억,,
32,,박정진,,2년,8억,1억,,
33,2015,윤성환,,4년,80억,-,,
34,,안지만,,4년,65억,,,
35,,이재영,,1+1년,5.5억,,,
36,,윤석민,,4년,90억,,,
37,2016,송승준,,4년,40억,-,,
38,,마정길,,2년,6.2억,,,
39,,이동현,,3년,30억,,,
40,,채병용,,2+1년,10.5억,,,
41,2017,김광현,,4년,85억,비공개,,
42,,이현승,,3년,27억,3억,,
43,,양현종,,1년,22.5억,-,,
44,2018,권오준,,2년,6억,-,,
45,,박정진,,2년,7.5억,,,
46,,김승회,,1+1년,3억,,,
47,,안영명,,2년,12억,,,
48,2019,금민철,,2년,7억,3억,,
49,,윤성환,,1년,10억,6억,,
50,,이보근,,3+1년,19억,옵션 8억,,
51,,노경은,,2년,11억,옵션 4억,,
52,2020,정우람,,4년,39억,-,,
53,,송은범,,2년,10억,1억 6천,,
54,,진해수,,2+1년,14억,3억 5천,,
55,,윤규진,,1+1년,5억,1억,,
56,,오주원,,2년,7억,1억,,
57,,고효준,,1년,1.2억,2000만원,,
58,2021,우규민,,1+1년,10억,3억,,
59,,김상수[16],,2+1년,15.5억,1.5억,,
60,,차우찬,,2년,20억,14억,,
61,,유희관,,1년,10억,7억,,
62,2022,백정현,,4년,38억,4억,,
63,,양현종,,4년,103억,48억,,
64,2023,장시환,,3년,9.3억,1.5억,,
1,2000,이강철,,,3년,8억,-,박충식
2,2004,조규제,,,2년,4.5억,-,-
3,,진필중,,,4년,30억,4억,손지환
4,,이상목,,,4년,22억,3억,신종길
5,2007,박명환,,,4년,40억,2억,신재웅
6,2012,임경완,,,3년,11억,연간 5천,임훈
7,,이승호,,,4년,24억,연간 1억,허준혁
8,,정대현,,,4년,36억,6억,임훈
9,,송신영,,,3년,13억,비공개,나성용
10,2013,정현욱,,,4년,28.6억,-,이승우
11,2015,권혁,,,4년,32억,4억,김민수
12,,장원준,,,4년,84억,4억,정재훈
13,,송은범,,,4년,34억,4억,임기영
14,,배영수,,,3년,21억,-,현금 보상[1]
15,,김사율,,,3+1년,14.5억,연간 5천,현금 보상[A]
16,2016,윤길현,,,4년,38억,-,김승회
17,,손승락,,,4년,60억,,현금 보상
18,,정우람,,,4년,84억,,조영우
19,,심수창,,,4년,13억,,박한길
20,2017,우규민,,,4년,65억,-,최재원
21,,차우찬,,,4년,95억,15억,이승현
22,2021,이용찬,,,3+1년,27억,13억,박정수
23,2023,원종현,,,4년,25억,-,현금 보상[C]
24,,이태양,,,4년,25억,-,현금 보상[C]
,,,,,,,,
